iter	Passed	Remaining
0	154	154720
1	156	77947
2	157	52319
3	158	39451
4	159	31781
5	162	26838
6	163	23160
7	169	21055
8	171	18831
9	171	17017
10	172	15547
11	183	15073
12	186	14132
13	191	13506
14	201	13226
15	204	12565
16	205	11874
17	207	11340
18	208	10785
19	209	10271
20	210	9809
21	211	9385
22	211	8998
23	215	8745
24	217	8465
25	218	8186
26	220	7951
27	221	7695
28	222	7450
29	223	7227
30	224	7018
31	225	6835
32	227	6657
33	228	6482
34	230	6366
35	232	6228
36	233	6080
37	237	6004
38	244	6036
39	246	5910
40	247	5782
41	254	5793
42	258	5748
43	259	5638
44	266	5666
45	270	5616
46	272	5518
47	274	5453
48	276	5358
49	277	5272
50	278	5181
51	281	5134
52	283	5058
53	284	4982
54	285	4899
55	288	4858
56	289	4782
57	289	4707
58	290	4635
59	292	4586
60	294	4539
61	295	4474
62	296	4410
63	297	4347
64	300	4319
65	301	4261
66	301	4203
67	302	4142
68	303	4100
69	307	4080
70	308	4040
71	309	3994
72	315	4007
73	323	4043
74	324	3996
75	324	3949
76	325	3907
77	334	3952
78	335	3908
79	344	3959
80	345	3921
81	346	3884
82	354	3921
83	355	3880
84	356	3840
85	365	3881
86	365	3838
87	366	3798
88	367	3764
89	375	3801
90	376	3763
91	377	3725
92	378	3689
93	379	3658
94	380	3623
95	381	3588
96	381	3553
97	382	3520
98	389	3542
99	392	3534
100	393	3506
101	394	3471
102	395	3441
103	396	3416
104	398	3394
105	399	3365
106	399	3338
107	400	3309
108	402	3293
109	404	3274
110	405	3247
111	406	3221
112	407	3197
113	408	3176
114	410	3158
115	416	3171
116	417	3151
117	423	3164
118	423	3138
119	426	3124
120	428	3110
121	428	3086
122	429	3060
123	429	3036
124	430	3013
125	432	3001
126	434	2988
127	435	2965
128	435	2942
129	437	2930
130	439	2915
131	445	2932
132	452	2949
133	453	2928
134	453	2907
135	454	2887
136	461	2908
137	463	2893
138	464	2878
139	465	2858
140	466	2839
141	466	2820
142	469	2814
143	471	2800
144	471	2782
145	472	2764
146	473	2746
147	476	2745
148	478	2730
149	478	2713
150	479	2696
151	483	2696
152	484	2680
153	484	2663
154	486	2649
155	488	2643
156	490	2633
157	491	2618
158	492	2602
159	494	2593
160	495	2580
161	497	2571
162	497	2556
163	498	2541
164	500	2533
165	501	2519
166	502	2505
167	503	2491
168	503	2478
169	505	2465
170	506	2457
171	507	2443
172	508	2430
173	509	2417
174	509	2404
175	511	2393
176	513	2389
177	514	2376
178	515	2364
179	516	2351
180	516	2337
181	519	2333
182	520	2321
183	520	2309
184	521	2297
185	522	2285
186	523	2274
187	525	2270
188	526	2259
189	527	2248
190	527	2236
191	528	2223
192	529	2211
193	532	2210
194	533	2200
195	534	2190
196	534	2179
197	535	2167
198	535	2156
199	537	2151
200	538	2141
201	539	2131
202	540	2120
203	540	2110
204	541	2099
205	542	2090
206	543	2083
207	545	2075
208	545	2065
209	546	2055
210	547	2045
211	548	2039
212	552	2042
213	553	2032
214	556	2032
215	557	2024
216	558	2016
217	559	2007
218	560	1998
219	564	2001
220	565	1993
221	572	2006
222	573	1997
223	573	1988
224	575	1982
225	576	1974
226	577	1965
227	577	1956
228	578	1947
229	578	1938
230	579	1929
231	580	1920
232	583	1919
233	583	1911
234	584	1903
235	585	1895
236	586	1887
237	587	1881
238	589	1876
239	590	1869
240	590	1861
241	591	1853
242	592	1844
243	595	1844
244	595	1836
245	596	1828
246	597	1821
247	598	1813
248	599	1807
249	603	1811
250	604	1803
251	604	1795
252	606	1790
253	609	1789
254	610	1782
255	610	1774
256	611	1766
257	613	1764
258	614	1757
259	615	1750
260	615	1743
261	616	1736
262	616	1728
263	617	1721
264	619	1717
265	620	1710
266	620	1704
267	621	1696
268	621	1690
269	622	1683
270	623	1678
271	625	1673
272	632	1683
273	632	1676
274	633	1670
275	634	1663
276	634	1656
277	635	1650
278	637	1647
279	638	1642
280	640	1637
281	640	1631
282	641	1625
283	642	1619
284	645	1618
285	645	1612
286	646	1605
287	647	1599
288	647	1593
289	648	1587
290	650	1584
291	651	1580
292	652	1574
293	653	1568
294	653	1562
295	654	1556
296	656	1553
297	657	1548
298	657	1542
299	658	1536
300	659	1530
301	659	1524
302	660	1518
303	661	1514
304	662	1510
305	663	1504
306	663	1498
307	664	1492
308	664	1486
309	665	1481
310	665	1475
311	666	1469
312	668	1466
313	668	1461
314	669	1455
315	669	1450
316	670	1444
317	671	1439
318	671	1433
319	672	1428
320	673	1424
321	674	1419
322	674	1414
323	675	1409
324	676	1405
325	677	1400
326	679	1399
327	681	1395
328	683	1394
329	686	1394
330	687	1389
331	688	1384
332	688	1379
333	689	1374
334	690	1369
335	691	1367
336	692	1362
337	693	1357
338	693	1353
339	694	1348
340	695	1343
341	695	1338
342	696	1334
343	699	1333
344	700	1329
345	700	1324
346	701	1320
347	702	1315
348	703	1311
349	704	1309
350	705	1305
351	706	1300
352	708	1298
353	711	1299
354	712	1294
355	713	1290
356	713	1285
357	717	1287
358	718	1283
359	719	1279
360	720	1274
361	720	1269
362	721	1265
363	722	1261
364	724	1260
365	724	1255
366	725	1251
367	726	1246
368	726	1242
369	727	1237
370	727	1233
371	729	1231
372	730	1227
373	730	1223
374	731	1219
375	732	1215
376	732	1211
377	733	1206
378	734	1203
379	736	1200
380	736	1196
381	737	1192
382	737	1188
383	738	1184
