iter	Passed	Remaining
0	151	150933
1	152	75866
2	152	50767
3	155	38623
4	155	31017
5	156	25933
6	157	22292
7	157	19578
8	158	17457
9	160	15884
10	161	14481
11	161	13307
12	162	12318
13	162	11468
14	164	10794
15	166	10226
16	167	9658
17	167	9145
18	168	8683
19	168	8268
20	169	7892
21	169	7556
22	170	7247
23	172	7013
24	173	6754
25	173	6512
26	174	6286
27	175	6075
28	175	5880
29	176	5696
30	176	5528
31	177	5375
32	178	5228
33	179	5090
34	179	4958
35	180	4833
36	181	4713
37	181	4600
38	182	4492
39	182	4391
40	183	4298
41	184	4211
42	185	4126
43	186	4043
44	186	3964
45	187	3887
46	188	3812
47	188	3741
48	189	3681
49	190	3618
50	191	3556
51	191	3496
52	192	3438
53	193	3383
54	193	3329
55	194	3277
56	195	3227
57	196	3184
58	197	3146
59	198	3103
60	198	3061
61	199	3019
62	200	2978
63	201	2940
64	201	2901
65	202	2863
66	203	2826
67	203	2791
68	204	2756
69	204	2722
70	205	2689
71	206	2657
72	206	2626
73	207	2597
74	208	2568
75	208	2540
76	209	2512
77	210	2486
78	211	2460
79	211	2435
80	212	2410
81	213	2385
82	213	2358
83	214	2335
84	214	2312
85	215	2288
86	215	2266
87	216	2244
88	217	2222
89	217	2200
90	218	2178
91	218	2159
92	219	2139
93	219	2119
94	220	2099
95	220	2080
96	221	2061
97	221	2043
98	222	2024
99	223	2007
100	223	1989
101	224	1972
102	224	1956
103	225	1939
104	225	1923
105	226	1907
106	226	1892
107	227	1876
108	227	1861
109	228	1846
110	228	1832
111	229	1817
112	229	1804
113	230	1791
114	231	1779
115	231	1767
116	232	1753
117	233	1742
118	233	1730
119	234	1718
120	234	1706
121	235	1694
122	235	1682
123	236	1670
124	237	1660
125	237	1649
126	238	1636
127	238	1625
128	239	1615
129	239	1604
130	240	1594
131	240	1583
132	241	1573
133	242	1563
134	242	1554
135	243	1545
136	243	1536
137	244	1527
138	245	1518
139	245	1509
140	246	1500
141	246	1489
142	247	1480
143	247	1472
144	248	1463
145	248	1454
146	249	1446
147	249	1437
148	250	1429
149	250	1421
150	251	1413
151	251	1405
152	252	1397
153	252	1389
154	253	1381
155	254	1374
156	254	1366
157	255	1359
158	255	1351
159	256	1344
160	256	1336
161	256	1329
162	257	1322
163	258	1315
164	258	1308
165	259	1301
166	259	1294
167	260	1287
